Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",77.525000,-100.115000,0.000000,top
"C2","100nF","C_0603_1608Metric",89.075000,-97.765000,0.000000,top
"C3","22pF","C_0603_1608Metric",59.375000,-96.855000,0.000000,top
"C4","22pF","C_0603_1608Metric",63.225000,-96.855000,0.000000,top
"C5","100nF","C_0603_1608Metric",89.075000,-100.115000,0.000000,top
"C6","100nF","C_0603_1608Metric",102.375000,-81.415000,0.000000,top
"C7","10uF","C_0805_2012Metric",77.745000,-92.815000,0.000000,top
"C8","100nF","C_0603_1608Metric",85.225000,-95.415000,0.000000,top
"C9","100nF","C_0603_1608Metric",92.925000,-97.765000,0.000000,top
"C10","100nF","C_0603_1608Metric",77.525000,-97.765000,0.000000,top
"C11","100nF","C_0603_1608Metric",89.075000,-95.415000,0.000000,top
"C12","100nF","C_0603_1608Metric",92.925000,-95.415000,0.000000,top
"C13","100nF","C_0603_1608Metric",81.375000,-100.115000,0.000000,top
"C14","100nF","C_0603_1608Metric",85.225000,-97.765000,0.000000,top
"C15","100nF","C_0603_1608Metric",85.225000,-100.115000,0.000000,top
"C16","100nF","C_0603_1608Metric",77.525000,-95.415000,0.000000,top
"C17","1nF","C_0603_1608Metric",81.375000,-97.765000,0.000000,top
"C18","1nF","C_0603_1608Metric",81.375000,-95.415000,0.000000,top
"C19","100nF","C_0603_1608Metric",40.375000,-90.085000,0.000000,top
"C20","100nF","C_0603_1608Metric",70.925000,-96.855000,0.000000,top
"C21","1uF","C_0603_1608Metric",67.075000,-96.855000,0.000000,top
"C22","22pF","C_0603_1608Metric",89.515000,-92.565000,0.000000,top
"C23","22pF","C_0603_1608Metric",93.365000,-92.565000,0.000000,top
"C24","22uF","C_1206_3216Metric",42.095000,-80.675000,0.000000,top
"C25","100nF","C_0603_1608Metric",49.595000,-84.545000,0.000000,top
"C26","22uF","C_1206_3216Metric",47.585000,-80.675000,0.000000,top
"C27","22uF","C_1206_3216Metric",37.345000,-84.965000,0.000000,top
"C28","100nF","C_0603_1608Metric",36.525000,-90.085000,0.000000,top
"D1","SMAJ12A","D_SMA",38.545000,-76.885000,0.000000,top
"D2","1N4148","D_SOD-123",99.395000,-76.295000,0.000000,top
"FB1","FerriteBead","L_0603_1608Metric",81.815000,-92.565000,0.000000,top
"J1","USB","USB_C_Receptacle_GCT_USB4085",52.025000,-116.925000,0.000000,top
"J2","9V","BarrelJack_Horizontal",42.650000,-111.745000,90.000000,top
"J3","RECPLAY","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.750000,-44.500000,0.000000,top
"J4","STOP","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",56.750000,-44.500000,0.000000,top
"J5","RING","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",48.850000,-34.895000,0.000000,top
"J6","ICSP U1","PinHeader_2x03_P2.54mm_Vertical",77.820000,-80.595000,0.000000,top
"J7","ICSP U2","PinHeader_2x03_P2.54mm_Vertical",55.820000,-80.595000,0.000000,top
"J8","MIDI OUT","MIDI_DIN5_RA",71.500000,-118.955000,0.000000,top
"J9","MIDI IN","MIDI_DIN5_RA",92.700000,-118.955000,0.000000,top
"J10","MOCO","PinHeader_1x02_P2.54mm_Vertical",69.285000,-80.600000,0.000000,top
"J11","IND","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",88.100000,-34.895000,0.000000,top
"J12","UNDO","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",69.750000,-44.500000,0.000000,top
"J13","MODE","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.750000,-44.500000,0.000000,top
"J14","TRACK1","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",95.750000,-44.500000,0.000000,top
"J15","TRACK2","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",43.750000,-54.000000,0.000000,top
"J16","TRACK3","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",56.750000,-54.000000,0.000000,top
"J17","TRACK4","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",69.750000,-54.000000,0.000000,top
"J18","CLEAR","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",82.750000,-54.000000,0.000000,top
"J19","BANK","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",95.750000,-54.000000,0.000000,top
"L1","10uH","L_12x12mm_H8mm",41.905000,-67.645000,0.000000,top
"Q1","AO3401A","SOT-23",36.975000,-81.225000,0.000000,top
"R1","10k","R_0603_1608Metric",85.665000,-92.565000,0.000000,top
"R2","22","R_0603_1608Metric",60.515000,-92.565000,0.000000,top
"R3","22","R_0603_1608Metric",64.365000,-92.565000,0.000000,top
"R4","10k","R_0603_1608Metric",55.525000,-96.855000,0.000000,top
"R5","5.1k","R_0603_1608Metric",68.215000,-92.565000,0.000000,top
"R6","5.1k","R_0603_1608Metric",72.065000,-92.565000,0.000000,top
"R7","52.3k","R_0603_1608Metric",36.525000,-87.735000,0.000000,top
"R8","10k","R_0603_1608Metric",40.375000,-87.735000,0.000000,top
"R9","330","R_0603_1608Metric",44.225000,-87.735000,0.000000,top
"R10","220","R_0603_1608Metric",104.115000,-75.875000,0.000000,top
"R11","220","R_0603_1608Metric",98.525000,-79.065000,0.000000,top
"R12","220","R_0603_1608Metric",102.375000,-79.065000,0.000000,top
"R13","10k","R_0603_1608Metric",98.525000,-81.415000,0.000000,top
"R14","330","R_0603_1608Metric",48.075000,-87.735000,0.000000,top
"SW1","RST U1","SW_Push_1P1T_NO_CK_KMR2",85.825000,-80.625000,0.000000,top
"SW2","RST U2","SW_Push_1P1T_NO_CK_KMR2",63.825000,-80.625000,0.000000,top
"U1","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",81.195000,-66.195000,0.000000,top
"U2","ATmega16U2-A","TQFP-32_7x7mm_P0.8mm",59.195000,-66.195000,0.000000,top
"U3","AP63203WU","SOT-23-6",44.985000,-76.835000,0.000000,top
"U4","74AHCT1G125","SOT-23-5",49.975000,-76.835000,0.000000,top
"U5","LM66100DCK","SOT-363_SC-70-6",41.985000,-84.915000,0.000000,top
"U6","LM66100DCK","SOT-363_SC-70-6",45.775000,-84.915000,0.000000,top
"U7","USBLC6-2SC6","SOT-23-6",56.095000,-93.535000,0.000000,top
"U8","74AHCT1G125","SOT-23-5",99.095000,-72.555000,0.000000,top
"U9","H11L1","DIP-6_W7.62mm",98.100000,-63.365000,0.000000,top
"U10","74AHCT1G08","SOT-23-5",91.565000,-80.525000,0.000000,top
"Y1","16MHz","Crystal_SMD_HC49-SD",82.795000,-75.085000,0.000000,top
"Y2","16MHz","Crystal_SMD_HC49-SD",60.795000,-75.085000,0.000000,top
