Designator,Mid X,Mid Y,Layer,Rotation
C1,93.5250,-80.5950,Top,0.00
C2,85.6650,-95.9550,Top,0.00
C3,77.5250,-63.8950,Top,90.00
C4,93.5250,-63.8950,Top,90.00
C5,82.5250,-80.5950,Top,0.00
C6,88.5250,-80.5950,Top,0.00
C7,77.7450,-96.2050,Top,0.00
C8,77.5250,-98.8050,Top,0.00
C9,89.5150,-95.9550,Top,0.00
C10,89.0750,-101.1550,Top,0.00
C11,81.3750,-101.1550,Top,0.00
C12,81.3750,-98.8050,Top,0.00
C13,85.2250,-98.8050,Top,0.00
C14,93.3650,-95.9550,Top,0.00
C15,89.0750,-98.8050,Top,0.00
C16,92.9250,-98.8050,Top,0.00
C17,77.5250,-101.1550,Top,0.00
C18,85.2250,-101.1550,Top,0.00
C19,60.5250,-80.5950,Top,0.00
C20,66.5250,-80.5950,Top,0.00
C21,71.5250,-80.5950,Top,0.00
C22,55.5250,-63.8950,Top,90.00
C23,71.5250,-63.8950,Top,90.00
C24,38.8450,-62.1950,Top,0.00
C25,46.1450,-65.1950,Top,90.00
C26,46.8450,-62.1950,Top,0.00
C27,37.3450,-65.6950,Top,0.00
C28,44.2250,-91.1950,Top,0.00
C29,48.0750,-91.1950,Top,0.00
D1,38.5450,-84.7350,Top,0.00
D2,99.3950,-76.2950,Top,0.00
FB1,77.5250,-80.5950,Top,0.00
L1,42.8450,-75.4950,Top,0.00
Q1,49.8550,-84.6850,Top,0.00
R1,81.8150,-95.9550,Top,0.00
R2,60.5150,-95.9550,Top,0.00
R3,64.3650,-95.9550,Top,0.00
R4,55.5250,-100.2450,Top,0.00
R5,68.2150,-95.9550,Top,0.00
R6,72.0650,-95.9550,Top,0.00
R7,44.1050,-88.1050,Top,0.00
R8,47.9550,-88.1050,Top,0.00
R9,36.5250,-91.1950,Top,0.00
R10,104.1150,-75.8750,Top,0.00
R11,98.5250,-79.0650,Top,0.00
R12,102.3750,-79.0650,Top,0.00
R13,98.5250,-81.4150,Top,0.00
R14,40.3750,-91.1950,Top,0.00
SW1,85.8250,-84.0150,Top,0.00
SW2,63.8250,-84.0150,Top,0.00
U1,85.5250,-73.3950,Top,0.00
U2,63.5250,-73.3950,Top,0.00
U3,42.8450,-65.6950,Top,0.00
U4,44.9850,-84.6850,Top,0.00
U5,36.4950,-88.4750,Top,0.00
U6,40.2850,-88.4750,Top,0.00
U7,56.0950,-96.9250,Top,0.00
U8,99.0950,-72.5550,Top,0.00
U10,91.5650,-83.9150,Top,0.00
Y1,85.5250,-63.8950,Top,0.00
Y2,63.5250,-63.8950,Top,0.00
